	English words/sentences	French words/sentences
0	Hi.	Salut!
1	Run!	Cours !
2	Run!	Courez !
3	Who?	Qui ?
4	Wow!	Ça alors !
5	Fire!	Au feu !
6	Help!	À l'aide !
7	Jump.	Saute.
8	Stop!	Ça suffit !
9	Stop!	Stop !
10	Stop!	Arrête-toi !
11	Wait!	Attends !
12	Wait!	Attendez !
13	Go on.	Poursuis.
14	Go on.	Continuez.
15	Go on.	Poursuivez.
16	Hello!	Bonjour !
17	Hello!	Salut !
18	I see.	Je comprends.
19	I try.	J'essaye.
20	I won!	J'ai gagné !
21	I won!	Je l'ai emporté !
22	I won.	J’ai gagné.
23	Oh no!	Oh non !
24	Attack!	Attaque !
25	Attack!	Attaquez !
26	Cheers!	Santé !
27	Cheers!	À votre santé !
28	Cheers!	Merci !
29	Cheers!	Tchin-tchin !
30	Get up.	Lève-toi.
31	Go now.	Va, maintenant.
32	Go now.	Allez-y maintenant.
33	Go now.	Vas-y maintenant.
34	Got it!	J'ai pigé !
35	Got it!	Compris !
36	Got it?	Pigé ?
37	Got it?	Compris ?
38	Got it?	T'as capté ?
39	Hop in.	Monte.
40	Hop in.	Montez.
41	Hug me.	Serre-moi dans tes bras !
42	Hug me.	Serrez-moi dans vos bras !
43	I fell.	Je suis tombée.
44	I fell.	Je suis tombé.
45	I know.	Je sais.
46	I left.	Je suis parti.
47	I left.	Je suis partie.
48	I lied.	J'ai menti.
49	I lost.	J'ai perdu.
50	I paid.	J’ai payé.
51	I'm 19.	J'ai 19 ans.
52	I'm OK.	Je vais bien.
53	I'm OK.	Ça va.
54	No way!	C'est pas possible !
55	No way!	Impossible !
56	No way!	En aucun cas.
57	No way!	Sans façons !
58	No way!	C'est hors de question !
59	No way!	Il n'en est pas question !
60	No way!	C'est exclu !
61	No way!	En aucune manière !
62	No way!	Hors de question !
63	We try.	On essaye.
64	We won.	Nous avons gagné.
65	We won.	Nous gagnâmes.
66	We won.	Nous l'avons emporté.
67	We won.	Nous l'emportâmes.
68	Ask Tom.	Demande à Tom.
69	Be calm.	Sois calme !
70	Be calm.	Soyez calme !
71	Be calm.	Soyez calmes !
72	Be cool.	Sois détendu !
73	Be fair.	Sois juste !
74	Be fair.	Soyez juste !
75	Be fair.	Soyez justes !
76	Be fair.	Sois équitable !
77	Be fair.	Soyez équitable !
78	Be fair.	Soyez équitables !
79	Be kind.	Sois gentil.
80	Be nice.	Sois gentil !
81	Be nice.	Sois gentille !
82	Be nice.	Soyez gentil !
83	Be nice.	Soyez gentille !
84	Be nice.	Soyez gentils !
85	Be nice.	Soyez gentilles !
86	Beat it.	Dégage !
87	Call me.	Appelle-moi !
88	Call me.	Appellez-moi !
89	Call us.	Appelle-nous !
90	Call us.	Appelez-nous !
91	Come in.	Entrez !
92	Come in.	Entre.
93	Come in.	Entre !
94	Come in.	Entrez !
95	Come on!	Allez !
96	Come on.	Allez !
97	Come on.	Viens !
98	Come on.	Venez !
99	Drop it!	Laisse tomber !
100	I'll go.	J'irai.
101	I'm Tom.	Je suis Tom.
102	I'm fat.	Je suis gras.
103	I'm fat.	Je suis gros.
104	I'm fit.	Je suis en forme.
105	I'm hit!	Je suis touché !
106	I'm hit!	Je suis touchée !
107	I'm ill.	Je suis malade.
108	I'm sad.	Je suis triste.
109	I'm shy.	Je suis timide.
110	I'm wet.	Je suis mouillé.
111	I'm wet.	Je suis mouillée.
112	It's me!	C'est bibi !
113	Me, too.	Moi aussi.
114	Am I fat?	Suis-je gros ?
115	Am I fat?	Suis-je grosse ?
116	Be a man.	Sois un homme !
117	Be a man.	Soyez un homme !
118	He's wet.	Il est mouillé.
119	Hi, guys.	Salut, les mecs !
120	I did OK.	Je m'en suis bien sorti.
121	I did OK.	Je m'en suis bien sortie.
122	I did it.	Je l'ai fait.
123	I did it.	C'est moi qui l'ai fait.
124	I get it.	J'ai compris.
125	I got it.	J'ai compris.
126	I got it.	J'ai capté.
127	I saw it.	Je l'ai vu.
128	I saw it.	Je l’ai vu.
129	I use it.	Je l'utilise.
130	I use it.	J'en fais usage.
131	I use it.	Je m'en sers.
132	I'll pay.	Je paierai.
133	I'll try.	Je vais essayer.
134	I'll try.	J'essaierai.
135	I'm back.	Je suis revenu.
136	I'm back.	Me revoilà.
137	I'm bald.	Je suis chauve.
138	I'm busy.	Je suis occupé.
139	I'm busy.	Je suis occupée.
140	I'm calm.	Je suis calme.
141	I'm cold.	J'ai froid.
142	I'm cool.	Je suis détendu.
143	I'm cool.	Je suis détendue.
144	I'm deaf.	Je suis sourd.
145	I'm deaf.	Je suis sourde.
146	I'm done.	J'en ai fini.
147	I'm fair.	Je suis juste.
148	I'm fair.	J'ai la peau claire.
149	I'm fair.	J'ai le teint clair.
150	He's a DJ.	Il est DJ.
151	Here's $5.	Voilà cinq dollars.
152	I'm a cop.	Je suis flic.
153	I'm a man.	Je suis un homme.
154	It's a TV.	C'est une télé.
155	He is a DJ.	Il est DJ.
156	I am a man.	Je suis un homme.
157	I can't go.	Je ne peux pas y aller.
158	I can't go.	Je ne peux pas m'y rendre.
159	I can't go.	Je ne peux pas partir.
160	I won't go.	Je n'irai pas.
161	I'll do it.	Je vais le faire.
162	I'll do it.	Je le ferai.
163	I'll go in.	J'entrerai.
164	I'm a girl.	Je suis une fille.
165	I'm a hero.	Je suis un héros.
166	I'm a liar.	Je suis un menteur.
167	I'm a twin.	J'ai un jumeau.
168	I'm in bed.	Je suis au lit.
169	I'm in bed.	Je suis alité.
170	I'm in bed.	Je suis alitée.
171	I'm so fat.	Je suis tellement gros.
172	It's a fad.	C'est une passade.
173	It's a fad.	C'est une tocade.
174	It's a fad.	C'est un phénomène de mode.
175	It's my CD.	C'est mon CD.
176	It's on me.	C'est pour moi.
177	Don't do it!	Ne le fais pas !
178	Don't do it!	Ne le faites pas !
179	Don't do it.	Ne le fais pas !
180	Don't do it.	Ne le faites pas !
181	He's a hunk.	C'est un beau mec.
182	He's a hunk.	C'est un beau gosse.
183	He's a jerk.	C'est un pauvre type.
184	He's a liar.	C'est un menteur.
185	He's a nerd.	C'est un binoclard.
186	He's a slob.	C'est un flemmard.
187	He's my age.	Il a mon âge.
188	He's not in.	Il n'est pas chez lui.
189	He's not in.	Il n'est pas à l'intérieur.
190	He's not in.	Il n'est pas là.
191	I am a cook.	Je suis cuisinier.
192	I am a monk.	Je suis un moine.
193	I am a twin.	J'ai un jumeau.
194	I can do it.	Je peux le faire.
195	I can do it.	Je peux y arriver.
196	I can do it.	Je peux y parvenir.
197	I can do it.	J'arrive à le faire.
198	I can't eat.	Je ne peux pas manger.
199	I can't say.	Je ne puis le dire.
200	I'm 17, too.	J'ai également dix-sept ans.
201	"I did see it."""	Je l'ai vu, en effet.
202	I'm 99% sure.	J'en suis sûr à 99%.
203	I'm 99% sure.	J'en suis sûre à 99%.
204	I'm off-duty.	Je ne suis pas en service.
205	Can I go, too?	Est-ce que je peux y aller aussi ?
206	I can't do it.	Je n'y arrive pas.
207	I can't do it.	Je n'y parviens pas.
208	I'm busy, too.	Je suis également affairé.
209	I'm busy, too.	Je suis également affairée.
210	I'm busy, too.	Je suis également occupé.
211	I'm busy, too.	Je suis également occupée.
212	I'm home, Tom.	Je suis chez moi, Tom.
213	I'm not a cop.	Je ne suis pas flic.
214	I'm not a fan.	Je ne fais pas partie de ses admirateurs.
215	I'm not a fan.	Je ne fais pas partie de leurs admirateurs.
216	I'm not a kid.	Je ne suis pas un enfant.
217	I'm not a kid.	Je ne suis pas un gamin.
218	I'm not a kid.	Je ne suis pas une gamine.
219	I'm on a diet.	Je suis au régime.
220	I'm on my way.	Je suis en chemin.
221	I'm on my way.	Je suis en route.
222	Let's go, Tom.	Allons-y, Tom.
223	No, he didn't.	Non, il ne l'a pas fait.
224	No, you can't.	Non, tu ne peux pas.
225	No, you can't.	Non, vous ne pouvez pas.
226	OK, I'm ready.	Bon, je suis prêt.
227	OK, I'm ready.	Bon, je suis prête.
228	Oh, I'm sorry.	Oh, je suis désolée.
229	Can I see, too?	Puis-je également voir ?
230	He can't do it.	Il est incapable de le faire.
231	He can't do it.	Il n'est pas capable de le faire.
232	He saw it, too.	Il l'a vu aussi.
233	He saw it, too.	Il l’a vu aussi.
234	He's a big boy.	C’est un grand garçon.
235	He's a bit shy.	Il est un peu timide.
236	He's a bit shy.	Il est quelque peu timide.
237	He's a man now.	C'est désormais un homme.
238	He's an ex-con.	C'est un ancien détenu.
239	Hey, what's up?	Hé ! Quoi de neuf ?
240	Hi! What's new?	Hé ! Quoi de neuf ?
241	I am a shy boy.	Je suis un garçon timide.
242	I am in a spot.	Je suis dans le pétrin.
243	I am in a spot.	Je suis dans un endroit.
244	I can't get in.	Je ne parviens pas à y pénétrer.
245	I can't get in.	Je ne parviens pas à y entrer.
246	I can't get up.	Je n'arrive pas à me lever.
247	I can't go out.	Je ne peux pas sortir.
248	I can't see it.	Je ne peux pas la voir.
249	I can't use it.	Je ne peux pas l'utiliser.
250	"I'll be glad to."""	Oui, avec joie.
251	No, I didn't go.	Non, je ne suis pas parti.
252	No, I didn't go.	Non, je n'y suis pas allé.
253	Don't do it, Tom.	Ne fais pas ça, Tom.
254	Hi! I'm new here.	Salut ! Je suis nouveau, ici.
255	I'll be at Tom's.	Je serai chez Tom.
256	Oh, I'm so sorry.	Oh, je suis désolé.
257	Go away. I'm busy.	Partez. Je suis occupé.
258	Go away. I'm busy.	Allez-vous en. Je suis occupée.
259	I know it's a lie.	Je sais que c'est un mensonge.
260	I know it's a lie.	Je sais qu'il s'agit d'un mensonge.
261	I'd be angry, too.	Je serais moi aussi en colère.
262	I'd love to do it.	J'adorerais le faire.
263	I'll be in my car.	Je serai dans ma voiture.
264	I'm a big boy now.	Je suis un grand garçon maintenant.
265	I'm as old as you.	Je suis aussi âgé que toi.
266	I'm as old as you.	Je suis aussi âgée que toi.
267	I'm as old as you.	Je suis aussi âgé que vous.
268	I'm as old as you.	Je suis aussi âgée que vous.
269	I'm glad I did it.	Je me réjouis de l'avoir fait.
270	I'm not in a rush.	Je ne suis pas aux pièces.
271	I'm on my way out.	Je vais sortir.
272	It's a boys' club.	C'est un cercle de garçons.
273	It's a no-brainer.	C'est simple comme bonjour.
274	It's a no-brainer.	C'est l'enfance de l'art.
275	It's a no-brainer.	Il n'y a pas à hésiter.
276	It's a no-brainer.	Il n'y a aucune hésitation.
277	It's a no-brainer.	Je ne vois pas où est le problème.
278	It's a no-brainer.	Il n'y a pas de quoi se faire des nœuds au cerveau.
279	It's all I can do.	C'est tout ce que je peux faire.
280	It's all I've got.	C'est tout ce que j'ai.
281	Let's go to Tom's.	Allons chez Tom.
282	No, I didn't help.	Non, je n'ai pas aidé.
283	No, it isn't easy.	Non, ce n'est pas facile.
284	No, it's not easy.	Non, ce n'est pas facile.
285	OK, I'll order it.	D'accord, je le commanderai.
286	OK, let's do this.	C'est bon, allons-y.
287	Don't be a bad boy.	Ne sois pas un mauvais garçon.
288	Don't do it for me.	Ne le fais pas pour moi.
289	For here, or to go?	À emporter ou à consommer sur place ?
290	For here, or to go?	Sur place ou à emporter ?
291	For here, or to go?	Sur place ou pour emporter ?
292	For here, or to go?	Pour consommer sur place ou à emporter ?
293	"Get in the car now."""	Monte dans la voiture, maintenant !
294	He's not a bad boy.	Ce n'est pas un mauvais garçon.
295	He's not a bad guy.	Ce n'est pas un mauvais bougre.
296	He's not one of us.	Il n'est pas des nôtres.
297	He's one of a kind.	Il est unique en son genre.
298	Help! I can't swim.	À l'aide ! Je ne sais pas nager.
299	Hey, don't do that!	Hé, ne faites pas ça !
300	I'm glad I'm a man.	Je suis content d'être un homme.
301	I'm here, aren't I?	Je suis ici, n'est-ce pas ?
302	I'm late, aren't I?	Je suis en retard, n'est-ce pas ?
303	I'm not late, am I?	Je ne suis pas en retard, n'est-ce pas ?
304	He's a stand-up guy.	C'est un type sur qui on peut compter.
305	I'd like to go, too.	J'aimerais aussi y aller.
306	I'd like to go, too.	J'aimerais également m'y rendre.
307	I'm right, aren't I?	J'ai raison, non ?
308	Is it a yes or a no?	C'est oui ou c'est non ?
309	No, I don't want to.	Non, je ne veux pas.
310	Tom's fat, isn't he?	Tom est gros, n'est-ce pas ?
311	Come on, let's do it.	Allez, faisons-le !
312	Come on, let's do it.	Allez, action !
313	Don't worry. It's OK.	Ne t'inquiète pas. Ça va.
314	He is cool, isn't he?	Il est cool, pas vrai ?
315	He isn't here, is he?	Il n'est pas là, non ?
316	Hey, guys. What's up?	Hé, les mecs ! Quoi de neuf ?
317	Hey, guys. What's up?	Hé, les gars ! Quoi de neuf ?
318	Hey, it's not so bad.	Hé, c'est pas si mal !
319	I can't do that, sir.	Je ne peux pas faire cela, Monsieur.
320	I sent you an e-mail.	Je t'ai envoyé un courrier électronique.
321	I'll see if he is in.	Je vais voir s'il est là.
322	I'm as tall as he is.	Je suis aussi grand que lui.
323	I'm glad I'm not Tom.	Je suis content de ne pas être Tom.
324	Let's go by taxi, OK?	Allons-y en taxi, d'accord ?
325	OK, I think I get it.	D'accord, je pense que je capte.
326	OK, I think I get it.	D'accord, je pense que je pige.
327	OK, I think I got it.	D'accord, je pense que j'ai capté.
328	OK, I think I got it.	D'accord, je pense que j'ai pigé.
329	Tom is sad, isn't he?	Tom est triste, n'est-ce pas ?
330	All right, I'll do it.	D'accord, je le ferai.
331	And now, it's my turn!	Et maintenant, c'est mon tour !
332	Come on, let's try it.	Allez, essayons !
333	Come on, let's try it.	Allez, tentons-le !
334	He is a self-made man.	C'est un homme qui s'est fait lui-même.
335	Hey, I got you a beer.	Hey, je t'ai pris une bière.
336	I can do it in a week.	Je peux le faire en une semaine.
337	I can't help you, Tom.	Je ne peux pas t'aider, Tom.
338	I can't say I'm sorry.	Je ne peux pas dire que je sois désolé.
339	I can't say I'm sorry.	Je ne peux pas dire que je sois désolée.
340	I don't hate you, Tom.	Je ne te déteste pas, Tom.
341	I don't hate you, Tom.	Je ne te hais pas, Tom.
342	I don't know who I am.	Je ne sais pas qui je suis.
343	I don't need a new TV.	Je n'ai pas besoin d'une nouvelle télévision.
344	I knew I had to do it.	Je savais que je devais le faire.
345	I'd bet my life on it.	Je parierais ma vie là-dessus.
346	I'd like a cup of tea.	J'aimerais avoir une tasse de thé.
347	I'd like a cup of tea.	Je voudrais une tasse de thé.
348	I'd like to buy a map.	J'aimerais acheter une carte.
349	I'd like to try it on.	J'aimerais l'essayer.
350	"Who is it? It's me."""	« Qui est là ? » « C'est moi. »
351	"Who is it? It's me."""	« Qui est-ce ? » « C'est moi. »
352	He's the one, isn't he?	C'est lui, n'est-ce pas ?
353	I'm glad I'm not a dog.	Je suis ravi de ne pas être un chien.
354	I'm the boss, aren't I?	Je suis le patron, non ?
355	I'm the boss, aren't I?	C'est moi le patron, non ?
356	OK, I'll give it a try.	D'accord, je vais essayer.
357	That's my CD, isn't it?	C'est mon CD, n'est-ce pas ?
358	Don't worry. I'll do it.	Ne t'inquiète pas. Je le ferai.
359	Don't worry. I'll do it.	Ne vous inquiétez pas. Je m'en charge.
360	He isn't at home, is he?	Il n'est pas à la maison, n'est-ce pas ?
361	I didn't do this, did I?	Je n'ai pas fait cela, si ?
362	I hate my mother-in-law.	Je déteste ma belle-mère.
363	I'm busy, so I can't go.	Je suis occupé, je ne peux donc m'y rendre.
364	I'm busy, so I can't go.	Je suis occupé, je ne peux donc y aller.
365	I'm busy, so I can't go.	Je suis occupé, alors je ne peux pas m'y rendre.
366	I'm busy, so I can't go.	Je suis occupé, alors je ne peux pas y aller.
367	It's very hot, isn't it?	Il fait très chaud, n'est-ce pas ?
368	No, thank you. I'm full.	Non, merci. Je suis rassasié.
369	OK, I won't do it again.	D'accord, je ne le ferai plus.
370	Tom can do it, can't he?	Tom peut le faire, non ?
371	"Who are you? I'm Tom."""	« Qui es-tu ? » « Je suis Tom. »
372	Don't come in. I'm naked.	N'entre pas ! Je suis nu.
373	Don't come in. I'm naked.	N'entre pas ! Je suis nue.
374	Don't come in. I'm naked.	N'entrez pas ! Je suis nu.
375	Don't come in. I'm naked.	N'entrez pas ! Je suis nue.
376	I didn't say I'd do that.	Je n'ai pas dit que je ferais ça.
377	I didn't say I'd do that.	Je n'ai pas dit que je le ferais.
378	I don't mind if it's hot.	Ça ne me dérange pas que ce soit chaud.
379	I don't mind if it's hot.	Ça ne me dérange pas qu'il fasse chaud.
380	I have a 13-year-old son.	J'ai un fils de 13 ans.
381	"I just don't want to die."""	Je ne veux pas mourir, un point c'est tout.
382	I'd like to be in a band.	J'aimerais faire partie d'un groupe.
383	I'm not a baby, you know!	Je ne suis plus un bébé !
384	I'm not as rich as I was.	Je ne suis pas aussi riche que je le fus.
385	I'm not as rich as I was.	Je ne suis pas aussi riche que je l'étais.
386	I'm not gonna lie to you.	Je ne vais pas te mentir.
387	I'm not gonna lie to you.	Je ne vais pas vous mentir.
388	I'm sure I'll find a way.	Je suis certain de trouver un moyen.
389	I've been told I'm a pig.	On m'a dit que j'étais un cochon.
390	If it's fun, I will stay.	Si c'est marrant, je resterai.
391	If you want to, we'll go.	Si tu le veux, nous irons.
392	If you want to, we'll go.	Si tu le veux, nous partirons.
393	If you want to, we'll go.	Si vous le voulez, nous irons.
394	If you want to, we'll go.	Si vous le voulez, nous partirons.
